Atomic Mass Adjustment data 
"The Ame2016 atomic mass evaluation (I)"   by W.J.Huang, G.Audi, M.Wang, F.G.Kondev, S.Naimi and X.Xu
"The Ame2016 atomic mass evaluation (II)"   by W.J.Huang, G.Audi, M.Wang, F.G.Kondev, S.Naimi and X.Xu

NUM	ELEMENT	N	Z	MASS_EXCESS	ME_unc
2	H	0	1	7288.97061	0.00009
3	H	1	1	13135.72176	0.00011
4	H	2	1	14949.80993	0.00022
5	He	1	2	14931.21793	0.00021
6	H	3	1	24621.127	100
7	He	2	2	2424.91561	0.00006
8	Li	1	3	25323.189	212.132
9	H	4	1	32892.444	89.443
10	He	3	2	11231.233	20
11	Li	2	3	11678.886	50
12	H	5	1	41875.721	254.127
13	He	4	2	17592.095	0.053
14	Li	3	3	14086.87895	0.00144
15	Be	2	4	18375.033	5.448
16	He	5	2	26073.126	7.559
17	Li	4	3	14907.10529	0.00423
18	Be	3	4	15768.999	0.071
19	B	2	5	27676.55	25.15
20	He	6	2	31609.681	0.089
21	Li	5	3	20945.804	0.047
22	Be	4	4	4941.671	0.035
23	B	3	5	22921.567	1
24	C	2	6	35064.268	18.243
25	He	7	2	40935.826	46.816
26	Li	6	3	24954.902	0.186
27	Be	5	4	11348.453	0.077
28	B	4	5	12416.488	0.903
29	C	3	6	28910.972	2.137
30	He	8	2	49197.143	92.848
31	Li	7	3	33052.624	12.721
32	Be	6	4	12607.488	0.081
33	B	5	5	12050.609	0.015
34	C	4	6	15698.672	0.07
35	N	3	7	38800.026	400
36	Li	8	3	40728.254	0.615
37	Be	7	4	20177.167	0.238
38	B	6	5	8667.707	0.012
39	C	5	6	10649.396	0.06
40	N	4	7	24303.559	46.154
41	Li	9	3	49009.571	30.006
42	Be	8	4	25077.76	1.909
43	B	7	5	13369.397	1.321
44	C	6	6	0	0
45	N	5	7	17338.068	1
46	O	4	8	31914.613	24
47	Li	10	3	56980.888	70.003
48	Be	9	4	33659.077	10.18
49	B	8	5	16561.947	1
50	C	7	6	3125.00888	0.00021
51	N	6	7	5345.481	0.27
52	O	5	8	23115.432	9.526
53	Be	10	4	39954.498	132.245
54	B	9	5	23663.685	21.213
55	C	8	6	3019.89278	0.00376
56	N	7	7	2863.41672	0.00019
57	O	6	8	8007.781	0.025
58	F	5	9	31964.402	41.119
59	Be	11	4	49825.815	165.797
60	B	10	5	28958.242	21.032
61	C	9	6	9873.144	0.8
62	N	8	7	101.43871	0.0006
63	O	7	8	2855.605	0.491
64	F	6	9	16566.751	14
65	Ne	5	10	40215.373	66.684
66	Be	12	4	57447.132	165.797
67	B	11	5	37112.51	24.569
68	C	10	6	13694.132	3.578
69	N	9	7	5683.907	2.301
70	O	8	8	-4737.00135	0.00016
71	F	7	9	10680.253	8.321
72	Ne	6	10	23986.776	20.48
73	B	12	5	43716.317	204.104
74	C	11	6	21031.898	17.365
75	N	10	7	7870.079	15
76	O	9	8	-808.76348	0.00066
77	F	8	9	1951.702	0.248
78	Ne	7	10	16500.447	0.354
79	Na	6	11	35173.214	1001.356
80	B	13	5	51792.634	204.165
81	C	12	6	24919.264	30
82	N	11	7	13113.168	18.57
83	O	10	8	-782.8156	0.00071
84	F	9	9	873.113	0.463
85	Ne	8	10	5317.614	0.363
86	Na	7	11	25037.988	93.881
87	B	14	5	59770.244	525.363
88	C	13	6	32413.752	98.389
89	N	12	7	15856.282	16.404
90	O	11	8	3332.858	2.637
91	F	10	9	-1487.4442	0.00086
92	Ne	9	10	1752.05	0.16
93	Na	8	11	12929.39	10.535
94	Mg	7	12	31828.389	50.001
95	C	14	6	37503.563	230.625
96	N	13	7	21766.496	78.894
97	O	12	8	3796.172	0.885
98	F	11	9	-17.463	0.03
99	Ne	10	10	-7041.93055	0.00157
100	Na	9	11	6850.604	1.114
101	Mg	8	12	17477.692	1.863
102	N	14	7	25231.913	134.048
103	O	13	8	8062.035	12
104	F	12	9	-47.605	1.8
105	Ne	11	10	-5731.776	0.038
106	Na	10	11	-2184.631	0.098
107	Mg	9	12	10903.85	0.755
108	C	16	6	53611.197	231.49
109	N	15	7	31764.801	207.779
110	O	14	8	9283.033	56.921
111	F	13	9	2793.373	12.399
112	Ne	12	10	-8024.719	0.018
113	Na	11	11	-5181.511	0.171
114	Mg	10	12	-399.933	0.313
115	N	16	7	36720.425	420.57
116	O	15	8	14621.369	121.712
117	F	14	9	3285.263	33.32
118	Ne	13	10	-5154.049	0.104
119	Na	12	11	-9529.85248	0.00181
120	Mg	11	12	-5473.513	0.158
121	Al	10	13	6748.07	0.345
122	O	16	8	18500.402	164.874
123	F	15	9	7544.515	97.67
124	Ne	14	10	-5951.646	0.513
125	Na	13	11	-8417.901	0.017
126	Mg	12	12	-13933.569	0.013
127	Al	11	13	-48.865	0.233
128	Si	10	14	10745.195	19.472
129	O	17	8	27329.027	165.084
130	F	16	9	11334.166	96.442
131	Ne	15	10	-2035.502	29.045
132	Na	14	11	-9357.813	1.2
133	Mg	13	12	-13192.783	0.047
134	Al	12	13	-8915.975	0.065
135	Si	11	14	3827.324	10
136	O	18	8	34661.037	164.95
137	F	17	9	18648.875	111.199
138	Ne	16	10	481.114	18.429
139	Na	15	11	-6860.78	3.502
140	Mg	14	12	-16214.542	0.03
141	Al	13	13	-12210.151	0.067
142	Si	12	14	-7141.015	0.108
143	F	18	9	25450.279	389.83
144	Ne	17	10	7050.909	90.77
145	Na	16	11	-5517.79	3.726
146	Mg	15	12	-14586.611	0.05
147	Al	14	13	-17196.861	0.047
148	Si	13	14	-12384.503	0.107
149	P	12	15	-722.458	26.34
150	F	19	9	33741.596	393.024
151	Ne	18	10	11299.737	126.068
152	Na	17	11	-988.315	10.246
153	Mg	16	12	-15018.845	2.001
154	Al	15	13	-16850.645	0.077
155	Si	14	14	-21492.7943	0.00049
156	P	13	15	-7147.74	1.152
157	S	12	16	4073.206	160
158	F	20	9	40150.186	525.363
159	Ne	19	10	18399.801	149.505
160	Na	18	11	2679.994	7.337
161	Mg	17	12	-10602.829	11.4
162	Al	16	13	-18207.76	0.345
163	Si	15	14	-21895.07838	0.00056
164	P	14	15	-16952.848	0.359
165	S	13	16	-3156.416	50
166	Cl	12	17	13162.176	188.68
167	Ne	20	10	23280.117	253.25
168	Na	19	11	8474.67	4.727
169	Mg	18	12	-8883.82	3.447
170	Al	17	13	-15864.844	2.888
171	Si	16	14	-24432.96	0.022
172	P	15	15	-20200.854	0.065
173	S	14	16	-14059.253	0.206
174	Ar	12	18	20931.147	206.155
175	Ne	21	10	31181.591	266.195
176	Na	20	11	12246.031	13.972
177	Mg	19	12	-3122.151	3.074
178	Al	18	13	-14950.706	2.236
179	Si	17	14	-22949.036	0.043
180	P	16	15	-24440.54095	0.00067
181	S	15	16	-19042.525	0.229
182	Cl	14	17	-7034.551	3.447
183	Na	21	11	18640.151	37.26
184	Mg	20	12	-828.9	3.26
185	Al	19	13	-11099.367	7.173
186	Si	18	14	-24077.686	0.298
187	P	17	15	-24304.874	0.04
188	S	16	16	-26015.53355	0.00132
189	Cl	15	17	-13334.674	0.562
190	Ar	14	18	-2200.351	1.77
191	Na	22	11	23780.11	449.912
192	Mg	21	12	4962.297	2.888
193	Al	20	13	-8497.38	6.986
194	Si	19	14	-20514.325	0.699
195	P	18	15	-26337.346	1.09
196	S	17	16	-26585.85434	0.00135
197	Cl	16	17	-21003.337	0.391
198	Ar	15	18	-9384.292	0.401
199	Na	23	11	31680.111	599.416
200	Mg	22	12	8323.348	28.876
201	Al	21	13	-3000.289	3.074
202	Si	20	14	-19956.852	14.118
203	P	19	15	-24548.698	0.81
204	S	18	16	-29931.685	0.045
205	Cl	17	17	-24440.082	0.049
206	Ar	16	18	-18378.29	0.078
207	Mg	23	12	15639.784	269.668
208	Al	22	13	-223.728	7.359
209	Si	21	14	-14391.457	35.857
210	P	20	15	-24857.799	1.866
211	S	19	16	-28846.206	0.04
212	Cl	18	17	-29013.528	0.035
213	Ar	17	18	-23047.284	0.68
214	K	16	19	-11172.891	0.512
215	Mg	24	12	20380.157	690.237
216	Al	23	13	5950.384	149.505
217	Si	22	14	-12436.124	71.797
218	P	21	15	-20251.034	13.114
219	S	20	16	-30664.131	0.188
220	Cl	19	17	-29522.005	0.036
221	Ar	18	18	-30231.54	0.027
222	K	17	19	-17417.065	0.341
223	Ca	16	20	-6451.149	40
224	Mg	25	12	28211.474	698.947
225	Al	24	13	9809.563	180.244
226	Si	23	14	-6571.511	113.809
227	P	22	15	-18995.998	37.948
228	S	21	16	-26896.417	0.198
229	Cl	20	17	-31761.538	0.052
230	Ar	19	18	-30947.664	0.207
231	K	18	19	-24800.199	0.094
232	Ca	17	20	-13136.066	0.634
233	Al	25	13	16209.859	374.461
234	Si	24	14	-4170.299	104.793
235	P	23	15	-14621.563	72.581
236	S	22	16	-26861.203	7.172
237	Cl	21	17	-29798.103	0.098
238	Ar	20	18	-34714.821	0.195
239	K	19	19	-28800.755	0.195
240	Ca	18	20	-22058.499	0.194
241	Si	25	14	2320.352	135.532
242	P	24	15	-12774.634	112.645
243	S	23	16	-23162.667	50
244	Cl	22	17	-29800.205	1.732
245	Ar	21	18	-33242.19	5
246	K	20	19	-33807.1901	0.00458
247	Ca	19	20	-27282.702	0.596
248	Sc	18	21	-14172.709	24
249	Si	26	14	5429.679	345.119
250	P	25	15	-8114.37	153.582
251	S	24	16	-22837.846	3.982
252	Cl	23	17	-27557.813	32.066
253	Ar	22	18	-35039.89464	0.00224
254	K	21	19	-33535.492	0.056
255	Ca	20	20	-34846.384	0.021
256	Sc	19	21	-20523.335	2.828
257	Ti	18	22	-8850.384	160
258	Si	27	14	12119.668	554.705
